City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,busselton,AU,58.05,broken clouds,-33.65,115.3333,Observatory Guest House
3,tasiilaq,GL,26.26,few clouds,65.6145,-37.6368,The Red House
4,ushuaia,AR,35.26,light snow,-54.8,-68.3,Albatros Hotel
6,mutsu,JP,71.92,overcast clouds,41.2894,141.2169,Mutsu Park Hotel
8,souillac,MU,70.36,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
9,vila franca do campo,PT,68.41,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
11,cape town,ZA,55.89,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
12,punta arenas,CL,35.71,overcast clouds,-53.15,-70.9167,Hotel Dreams Del Estrecho
13,bulembu,SZ,54.55,overcast clouds,-25.9667,31.1333,Bulembu Lodge
15,varhaug,NO,53.89,overcast clouds,58.6147,5.6457,Jonas Bue
17,kushmurun,KZ,49.21,scattered clouds,52.4503,64.6311,Gostinitsa Pri Depo
19,lokoja,NG,72.54,overcast clouds,7.8024,6.743,Hotel Charvid
22,hermanus,ZA,47.8,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
24,kabanjahe,ID,65.16,overcast clouds,3.1001,98.4908,Kos-Kosan wanita muslim bagoes kabanjahe
25,castro,BR,53.42,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
26,fortuna,US,52.66,scattered clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
28,tuktoyaktuk,CA,50.0,broken clouds,69.4541,-133.0374,End of The Road Ltd.
29,ukiah,US,67.37,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
30,ponta do sol,PT,73.71,scattered clouds,32.6667,-17.1,Hotel do Campo
31,inhambane,MZ,71.58,scattered clouds,-23.865,35.3833,Oceano
32,rikitea,PF,74.21,clear sky,-23.1203,-134.9692,People ThankYou
34,waipawa,NZ,46.45,overcast clouds,-41.4122,175.5153,Tora Coastal Walk
35,erenhot,CN,69.64,clear sky,43.6475,111.9767,Erenhot Rurouni Youth Hostel
36,leningradskiy,RU,32.45,overcast clouds,69.3833,178.4167,Gostinitsa
37,mata,PT,59.94,clear sky,40.683,-7.4592,Hostel EntryFik
38,asau,RO,64.76,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
39,barrow,US,35.62,light rain,71.2906,-156.7887,King Eider Inn
41,durban,ZA,58.01,light rain,-29.8579,31.0292,Hilton Durban
42,paragominas,BR,70.38,scattered clouds,-2.9667,-47.4833,INOVA
43,upernavik,GL,25.21,overcast clouds,72.7868,-56.1549,Gina's Guesthouse - Upernavik
44,yelizovo,RU,64.54,clear sky,53.1873,158.3805,Kamchatskiy Stil' Hostel
46,prieska,ZA,42.64,clear sky,-29.6641,22.7474,Avenue GuestHouse
48,cherskiy,RU,46.63,overcast clouds,68.75,161.3,Gostinitsa
49,ochiltree,GB,59.76,few clouds,55.4597,-4.3626,Laigh Tarbeg Farmhouse B&B
50,ribeira grande,PT,71.33,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
51,bredasdorp,ZA,51.12,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
52,chernyshevskiy,RU,45.36,clear sky,63.0128,112.4714,Chernyseyskiy
56,lebu,CL,47.64,few clouds,-37.6167,-73.65,Hostal Las Lilas
58,mataura,NZ,46.47,broken clouds,-46.1927,168.8643,Ellie's Villa
62,salto,UY,51.82,clear sky,-31.3833,-57.9667,Gran Hotel Uruguay
64,bluff,NZ,46.8,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
68,yellowknife,CA,41.52,scattered clouds,62.456,-114.3525,The Explorer Hotel
69,pevek,RU,32.72,overcast clouds,69.7008,170.3133,Hotel ABC
70,paamiut,GL,37.85,overcast clouds,61.994,-49.6678,Hotel Ivaana
74,pisco,PE,61.02,mist,-13.7,-76.2167,Hotel San Isidro Oficial
76,saldanha,ZA,46.45,clear sky,-33.0117,17.9442,Blue Bay Lodge
77,tuatapere,NZ,46.81,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
80,khatanga,RU,34.03,overcast clouds,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
81,sabaoani,RO,66.94,overcast clouds,47.0167,26.85,Route 85
83,constitucion,CL,49.87,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
84,touros,BR,74.3,clear sky,-5.1989,-35.4608,INN NEW HORIZON
85,tocopilla,CL,60.3,few clouds,-22.092,-70.1979,Hotel Galvarino
86,saint-philippe,RE,73.22,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
89,anadyr,RU,43.3,broken clouds,64.75,177.4833,"Гостиница ""Анадырь"""
91,aiken,US,71.15,overcast clouds,33.5835,-81.5998,Aiken Cottages
92,clyde river,CA,29.25,broken clouds,70.4692,-68.5914,Qamaq Hotel
