City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,busselton,AU,-33.65,115.3333,58.05,57,70,12.46,broken clouds
1,rosetta,EG,31.4044,30.4164,78.62,64,1,15.52,clear sky
2,vaini,TO,-21.2,-175.2,80.76,83,20,8.05,few clouds
3,tasiilaq,GL,65.6145,-37.6368,26.26,62,24,6.67,few clouds
4,ushuaia,AR,-54.8,-68.3,35.26,69,75,5.75,light snow
5,daru,PG,-9.0763,143.2092,78.82,72,97,19.71,overcast clouds
6,mutsu,JP,41.2894,141.2169,71.92,60,100,8.23,overcast clouds
7,kysyl-syr,RU,63.8986,122.7617,47.77,55,100,11.03,overcast clouds
8,souillac,MU,-20.5167,57.5167,70.36,94,75,3.44,broken clouds
9,vila franca do campo,PT,37.7167,-25.4333,68.41,89,92,4.18,overcast clouds
10,broken hill,AU,-31.95,141.4333,78.51,21,40,21.85,scattered clouds
11,cape town,ZA,-33.9258,18.4232,55.89,73,0,5.01,clear sky
12,punta arenas,CL,-53.15,-70.9167,35.71,100,90,4.61,overcast clouds
13,bulembu,SZ,-25.9667,31.1333,54.55,83,99,5.3,overcast clouds
14,albany,US,42.6001,-73.9662,68.09,89,65,3.69,broken clouds
15,varhaug,NO,58.6147,5.6457,53.89,72,100,4.72,overcast clouds
16,balgazyn,RU,51.0,95.2,63.68,35,99,2.44,overcast clouds
17,kushmurun,KZ,52.4503,64.6311,49.21,48,47,15.57,scattered clouds
18,rudsar,IR,37.1376,50.288,75.18,71,24,8.37,few clouds
19,lokoja,NG,7.8024,6.743,72.54,97,99,2.33,overcast clouds
20,ossora,RU,59.2353,163.0719,55.69,62,24,5.82,few clouds
21,qaanaaq,GL,77.484,-69.3632,14.43,80,81,7.16,broken clouds
22,hermanus,ZA,-34.4187,19.2345,47.8,75,0,9.62,clear sky
23,meulaboh,ID,4.1363,96.1285,84.42,66,81,4.76,broken clouds
24,kabanjahe,ID,3.1001,98.4908,65.16,74,100,3.53,overcast clouds
25,castro,BR,-24.7911,-50.0119,53.42,97,100,9.1,overcast clouds
26,fortuna,US,40.5982,-124.1573,52.66,67,40,0.0,scattered clouds
27,lianzhou,CN,24.7811,112.3825,88.18,69,19,1.95,few clouds
28,tuktoyaktuk,CA,69.4541,-133.0374,50.0,71,75,9.22,broken clouds
29,ukiah,US,39.1502,-123.2078,67.37,76,0,1.48,clear sky
30,ponta do sol,PT,32.6667,-17.1,73.71,69,28,3.89,scattered clouds
31,inhambane,MZ,-23.865,35.3833,71.58,100,40,0.0,scattered clouds
32,rikitea,PF,-23.1203,-134.9692,74.21,70,0,11.41,clear sky
33,port blair,IN,11.6667,92.75,82.49,77,97,8.93,overcast clouds
34,waipawa,NZ,-41.4122,175.5153,46.45,74,100,12.64,overcast clouds
35,erenhot,CN,43.6475,111.9767,69.64,29,0,8.28,clear sky
36,leningradskiy,RU,69.3833,178.4167,32.45,77,100,5.86,overcast clouds
37,mata,PT,40.683,-7.4592,59.94,96,8,2.86,clear sky
38,asau,RO,46.4333,26.4,64.76,82,100,5.03,overcast clouds
39,barrow,US,71.2906,-156.7887,35.62,87,90,12.66,light rain
40,wanning,CN,18.8003,110.3967,88.03,62,10,7.4,clear sky
41,durban,ZA,-29.8579,31.0292,58.01,87,96,4.0,light rain
42,paragominas,BR,-2.9667,-47.4833,70.38,99,25,3.13,scattered clouds
43,upernavik,GL,72.7868,-56.1549,25.21,65,100,5.1,overcast clouds
44,yelizovo,RU,53.1873,158.3805,64.54,39,0,11.18,clear sky
45,butaritari,KI,3.0707,172.7902,82.92,69,56,13.56,broken clouds
46,prieska,ZA,-29.6641,22.7474,42.64,80,6,7.43,clear sky
47,georgetown,MY,5.4112,100.3354,80.55,83,40,10.36,scattered clouds
48,cherskiy,RU,68.75,161.3,46.63,53,95,13.02,overcast clouds
49,ochiltree,GB,55.4597,-4.3626,59.76,82,20,12.66,few clouds
50,ribeira grande,PT,38.5167,-28.7,71.33,89,32,16.28,scattered clouds
51,bredasdorp,ZA,-34.5322,20.0403,51.12,87,1,2.3,clear sky
52,chernyshevskiy,RU,63.0128,112.4714,45.36,55,8,10.63,clear sky
53,chokurdakh,RU,70.6333,147.9167,39.47,87,100,6.29,light rain
54,naze,JP,28.3667,129.4833,86.92,75,81,14.25,broken clouds
55,boende,CD,-0.2167,20.8667,69.35,98,100,2.71,overcast clouds
56,lebu,CL,-37.6167,-73.65,47.64,89,17,3.83,few clouds
57,mount gambier,AU,-37.8333,140.7667,75.11,33,14,18.41,few clouds
58,mataura,NZ,-46.1927,168.8643,46.47,49,56,5.99,broken clouds
59,gold coast,AU,-28.0,153.4333,78.78,57,40,12.66,scattered clouds
60,yumen,CN,40.2833,97.2,76.51,19,2,2.1,clear sky
61,les cayes,HT,18.2,-73.75,78.82,80,71,3.56,broken clouds
62,salto,UY,-31.3833,-57.9667,51.82,85,0,7.27,clear sky
63,alofi,NU,-19.0595,-169.9187,78.69,83,40,12.66,scattered clouds
64,bluff,NZ,-46.6,168.3333,46.8,57,56,18.66,broken clouds
65,kyra,RU,49.5776,111.9753,63.9,50,94,2.48,overcast clouds
66,isangel,VU,-19.55,169.2667,77.11,83,75,5.75,broken clouds
67,katsuura,JP,35.1333,140.3,75.24,66,99,13.96,overcast clouds
68,yellowknife,CA,62.456,-114.3525,41.52,70,40,4.61,scattered clouds
69,pevek,RU,69.7008,170.3133,32.72,76,100,11.23,overcast clouds
70,paamiut,GL,61.994,-49.6678,37.85,76,90,12.46,overcast clouds
71,dikson,RU,73.5069,80.5464,34.83,76,100,18.39,overcast clouds
72,hithadhoo,MV,-0.6,73.0833,82.98,74,93,7.49,overcast clouds
73,hami,CN,42.8,93.45,83.21,15,99,8.79,overcast clouds
74,pisco,PE,-13.7,-76.2167,61.02,82,40,2.3,mist
75,kununurra,AU,-15.7667,128.7333,96.78,30,7,5.75,clear sky
76,saldanha,ZA,-33.0117,17.9442,46.45,76,0,10.76,clear sky
77,tuatapere,NZ,-46.1333,167.6833,46.81,56,94,3.96,overcast clouds
78,pundaguitan,PH,6.3711,126.1689,82.51,73,100,5.03,overcast clouds
79,cayenne,GF,4.9333,-52.3333,83.08,81,40,3.0,scattered clouds
80,khatanga,RU,71.9667,102.5,34.03,77,100,6.87,overcast clouds
81,sabaoani,RO,47.0167,26.85,66.94,68,93,5.32,overcast clouds
82,atuona,PF,-9.8,-139.0333,77.54,80,21,20.71,light rain
83,constitucion,CL,-35.3333,-72.4167,49.87,89,1,12.28,clear sky
84,touros,BR,-5.1989,-35.4608,74.3,85,5,14.14,clear sky
85,tocopilla,CL,-22.092,-70.1979,60.3,70,24,2.71,few clouds
86,saint-philippe,RE,-21.3585,55.7679,73.22,75,6,2.62,clear sky
87,meiktila,MM,20.8667,95.8667,76.05,90,100,8.55,overcast clouds
88,bogande,BF,12.9714,-0.1436,77.22,70,80,4.59,light rain
89,anadyr,RU,64.75,177.4833,43.3,65,75,17.9,broken clouds
90,tarakan,ID,3.3,117.6333,81.9,83,40,6.91,scattered clouds
91,aiken,US,33.5835,-81.5998,71.15,98,90,3.44,overcast clouds
92,clyde river,CA,70.4692,-68.5914,29.25,75,79,5.59,broken clouds
93,san jose de gracia,MX,20.6667,-102.5833,59.16,95,92,1.86,overcast clouds
